image_id, healthy
Train_417,1
Train_418,0
Train_419,0
Train_420,1
Train_421,1
Train_422,0
Train_423,0
Train_424,0
Train_425,1
Train_426,0
Train_427,1
Train_428,0
Train_429,0
Train_430,1
Train_431,0
Train_432,1
Train_433,1
Train_434,0
Train_435,0
Train_436,0
Train_437,0
Train_438,1
Train_439,1
Train_440,0
Train_441,0
Train_442,0
Train_443,1
Train_444,1
Train_445,0
Train_446,1
Train_447,0
Train_448,1
Train_449,0
Train_450,1
Train_451,0
Train_452,1
Train_453,0
Train_454,0
Train_455,0
Train_456,0
Train_457,0
Train_458,0
Train_459,0
Train_460,1
Train_461,0
Train_462,0
Train_463,0
Train_464,0
Train_465,0
Train_466,1
Train_467,0
Train_468,0
Train_469,0
Train_470,0
Train_471,0
Train_472,0
Train_473,0
Train_474,1
Train_475,1
Train_476,1
Train_477,0
Train_478,1
Train_479,0
Train_480,0
Train_481,0
Train_482,0
Train_483,0
Train_484,0
Train_485,0
Train_486,0
Train_487,0
Train_488,1
Train_489,0
Train_490,0
Train_491,1
Train_492,0
Train_493,0
Train_494,0
Train_495,0
Train_496,1
Train_497,0
Train_498,0
Train_499,0
Train_500,0
Train_501,0
Train_502,1
Train_503,0
Train_504,0
Train_505,0
Train_506,0
Train_507,0
Train_508,0
Train_509,0
Train_510,0
Train_511,0
Train_512,0
Train_513,0
Train_514,0
Train_515,0
Train_516,0
Train_517,0
Train_518,0
Train_519,0
Train_520,0
Train_521,0
Train_522,0
Train_523,0
Train_524,0
Train_525,1
Train_526,1
Train_527,0
Train_528,0
Train_529,1
Train_530,0
Train_531,1
Train_532,1
Train_533,0
Train_534,0
Train_535,0
Train_536,0
Train_537,1
Train_538,0
Train_539,0
Train_540,0
Train_541,0
Train_542,0
Train_543,0
Train_544,1
Train_545,1
Train_546,1
Train_547,1
Train_548,0
Train_549,0
Train_550,1
Train_551,1
Train_552,0
Train_553,0
Train_554,0
Train_555,0
Train_556,0
Train_557,0
Train_558,1
Train_559,0
Train_560,0
Train_561,0
Train_562,1
Train_563,0
Train_564,0
Train_565,0
Train_566,1
Train_567,0
Train_568,0
Train_569,1
Train_570,0
Train_571,0
Train_572,1
Train_573,1
Train_574,0
Train_575,0
Train_576,0
Train_577,0
Train_578,0
Train_579,1
Train_580,0
Train_581,0
Train_582,0
Train_583,0
Train_584,0
Train_585,0
Train_586,0
Train_587,1
Train_588,0
Train_589,0
Train_590,0
Train_591,1
Train_592,1
Train_593,0
Train_594,0
Train_595,1
Train_596,0
Train_597,1
Train_598,0
Train_599,0
Train_600,0
Train_601,1
Train_602,0
Train_603,1
Train_604,0
Train_605,1
Train_606,0
Train_607,0
Train_608,0
Train_609,0
Train_610,0
Train_611,0
Train_612,0
Train_613,0
Train_614,0
Train_615,0
Train_616,1
Train_617,0
Train_618,1
Train_619,1
Train_620,0
Train_621,1
Train_622,1
Train_623,0
Train_624,0
Train_625,0
Train_626,1
Train_627,0
Train_628,0
Train_629,0
Train_630,1
Train_631,0
Train_632,0
Train_633,0
Train_634,0
Train_635,1
Train_636,0
Train_637,1
Train_638,0
Train_639,0
Train_640,0
Train_641,0
Train_642,1
Train_643,0
Train_644,1
Train_645,0
Train_646,1
Train_647,0
Train_648,1
Train_649,0
Train_650,1
Train_651,0
Train_652,0
Train_653,0
Train_654,0
Train_655,0
Train_656,0
Train_657,1
Train_658,0
Train_659,0
Train_660,1
Train_661,0
Train_662,0
Train_663,0
Train_664,0
Train_665,1
Train_666,0
Train_667,0
Train_668,0
Train_669,0
Train_670,0
Train_671,1
Train_672,0
Train_673,0
Train_674,0
Train_675,1
Train_676,1
Train_677,0
Train_678,1
Train_679,1
Train_680,0
Train_681,0
Train_682,0
Train_683,0
Train_684,1
Train_685,1
Train_686,0
Train_687,0
Train_688,0
Train_689,0
Train_690,0
Train_691,1
Train_692,0
Train_693,0
Train_694,1
Train_695,0
Train_696,0
Train_697,0
Train_698,0
Train_699,0
Train_700,0
Train_701,1
Train_702,0
Train_703,1
Train_704,1
Train_705,0
Train_706,0
Train_707,0
Train_708,0
Train_709,0
Train_710,1
Train_711,1
Train_712,0
Train_713,0
Train_714,0
Train_715,0
Train_716,0
Train_717,0
Train_718,0
Train_719,0
Train_720,1
Train_721,0
Train_722,0
Train_723,0
Train_724,0
Train_725,1
Train_726,0
Train_727,0
Train_728,0
Train_729,0
Train_730,1
Train_731,1
Train_732,0
Train_733,0
Train_734,0
Train_735,0
Train_736,0
Train_737,1
Train_738,0
Train_739,0
Train_740,0
Train_741,0
Train_742,0
Train_743,0
Train_744,0
Train_745,0
Train_746,1
Train_747,1
Train_748,0
Train_749,0
Train_750,0
Train_751,0
Train_752,1
Train_753,1
Train_754,0
Train_755,1
Train_756,0
Train_757,0
Train_758,0
Train_759,0
Train_760,0
Train_761,1
Train_762,0
Train_763,0
Train_764,0
Train_765,0
Train_766,0
Train_767,0
Train_768,1
Train_769,1
Train_770,0
Train_771,0
Train_772,1
Train_773,1
Train_774,1
Train_775,0
Train_776,1
Train_777,1
Train_778,0
Train_779,0
Train_780,0
Train_781,1
Train_782,1
Train_783,0
Train_784,0
Train_785,0
Train_786,1
Train_787,0
Train_788,1
Train_789,0
Train_790,0
Train_791,1
Train_792,0
Train_793,0
Train_794,1
Train_795,0
Train_796,0
Train_797,0
Train_798,0
Train_799,0
Train_800,1
Train_801,1
Train_802,1
Train_803,0
Train_804,0
Train_805,1
Train_806,0
Train_807,1
Train_808,0
Train_809,1
Train_810,0
Train_811,1
Train_812,1
Train_813,0
Train_814,0
Train_815,1
Train_816,0
Train_817,1
Train_818,0
Train_819,0
Train_820,0
Train_821,0
Train_822,0
Train_823,0
Train_824,0
Train_825,0
Train_826,1
Train_827,0
Train_828,0
Train_829,0
Train_830,0
Train_831,0
Train_832,0
Train_833,1
Train_834,1
Train_835,1
Train_836,0
Train_837,0
Train_838,0
Train_839,1
Train_840,0
Train_841,0
Train_842,0
Train_843,0
Train_844,0
Train_845,0
Train_846,0
Train_847,0
Train_848,0
Train_849,1
Train_850,1
Train_851,0
Train_852,0
Train_853,0
Train_854,0
Train_855,0
Train_856,0
Train_857,0
Train_858,0
Train_859,0
Train_860,0
Train_861,0
Train_862,0
Train_863,1
Train_864,1
Train_865,0
Train_866,1
Train_867,0
Train_868,0
Train_869,0
Train_870,0
Train_871,0
Train_872,1
Train_873,0
Train_874,0
Train_875,0
Train_876,0
Train_877,1
Train_878,0
Train_879,0
Train_880,1
Train_881,1
Train_882,1
Train_883,0
Train_884,0
Train_885,1
Train_886,0
Train_887,1
Train_888,0
Train_889,0
Train_890,1
Train_891,0
Train_892,0
Train_893,1
Train_894,0
Train_895,1
Train_896,1
Train_897,1
Train_898,0
Train_899,0
Train_900,0
Train_901,1
Train_902,0
Train_903,1
Train_904,0
Train_905,0
Train_906,0
Train_907,1
Train_908,1
Train_909,1
Train_910,0
Train_911,0
Train_912,0
Train_913,0
Train_914,1
Train_915,1
Train_916,0
Train_917,0
Train_918,1
Train_919,1
Train_920,0
Train_921,1
Train_922,0
Train_923,1
Train_924,1
Train_925,0
Train_926,0
Train_927,0
Train_928,0
Train_929,1
Train_930,0
Train_931,0
Train_932,0
Train_933,0
Train_934,1
Train_935,1
Train_936,0
Train_937,1
Train_938,0
Train_939,1
Train_940,0
Train_941,0
Train_942,1
Train_943,0
Train_944,0
Train_945,0
Train_946,0
Train_947,1
Train_948,1
Train_949,0
Train_950,0
Train_951,1
Train_952,1
Train_953,1
Train_954,0
Train_955,0
Train_956,1
Train_957,0
Train_958,1
Train_959,1
Train_960,1
Train_961,1
Train_962,0
Train_963,1
Train_964,0
Train_965,0
Train_966,1
Train_967,0
Train_968,1
Train_969,1
Train_970,0
Train_971,0
Train_972,0
Train_973,0
Train_974,0
Train_975,0
Train_976,0
Train_977,1
Train_978,0
Train_979,1
Train_980,1
Train_981,1
Train_982,0
Train_983,1
Train_984,0
Train_985,0
Train_986,0
Train_987,0
Train_988,0
Train_989,1
Train_990,0
Train_991,0
Train_992,0
Train_993,0
Train_994,0
Train_995,0
Train_996,0
Train_997,0
Train_998,0
Train_999,0
Train_1000,0
Train_1001,1
Train_1002,1
Train_1003,0
Train_1004,1
Train_1005,1
Train_1006,0
Train_1007,1
Train_1008,0
Train_1009,0
Train_1010,0
Train_1011,0
Train_1012,1
Train_1013,0
Train_1014,1
Train_1015,0
Train_1016,0
Train_1017,1
Train_1018,0
Train_1019,0
Train_1020,1
Train_1021,0
Train_1022,0
Train_1023,0
Train_1024,0
Train_1025,0
Train_1026,0
Train_1027,0
Train_1028,0
Train_1029,0
Train_1030,0
Train_1031,1
Train_1032,0
Train_1033,0
Train_1034,1
Train_1035,0
Train_1036,0
Train_1037,0
Train_1038,0
Train_1039,1
Train_1040,0
Train_1041,0
Train_1042,0
Train_1043,1
Train_1044,1
Train_1045,0
Train_1046,0
Train_1047,1
Train_1048,0
Train_1049,0
Train_1050,0
Train_1051,0
Train_1052,0
Train_1053,0
Train_1054,1
Train_1055,1
Train_1056,0
Train_1057,0
Train_1058,1
Train_1059,0
Train_1060,0
Train_1061,0
Train_1062,0
Train_1063,0
Train_1064,0
Train_1065,0
Train_1066,1
Train_1067,1
Train_1068,0
Train_1069,0
Train_1070,0
Train_1071,0
Train_1072,1
Train_1073,0
Train_1074,0
Train_1075,0
Train_1076,0
Train_1077,0
Train_1078,0
Train_1079,1
Train_1080,1
Train_1081,0
Train_1082,1
Train_1083,0
Train_1084,0
Train_1085,1
Train_1086,1
Train_1087,0
Train_1088,0
Train_1089,0
Train_1090,0
Train_1091,1
Train_1092,1
Train_1093,0
Train_1094,0
Train_1095,0
Train_1096,0
Train_1097,1
Train_1098,0
Train_1099,0
Train_1100,0
Train_1101,1
Train_1102,0
Train_1103,1
Train_1104,0
Train_1105,0
Train_1106,0
Train_1107,0
Train_1108,0
Train_1109,0
Train_1110,1
Train_1111,0
Train_1112,0
Train_1113,0
Train_1114,1
Train_1115,1
Train_1116,0
Train_1117,1
Train_1118,0
Train_1119,0
Train_1120,0
Train_1121,0
Train_1122,0
Train_1123,1
Train_1124,0
Train_1125,0
Train_1126,0
Train_1127,0
Train_1128,0
Train_1129,0
Train_1130,0
Train_1131,1
Train_1132,0
Train_1133,1
Train_1134,0
Train_1135,0
Train_1136,0
Train_1137,0
Train_1138,0
Train_1139,1
Train_1140,0
Train_1141,1
Train_1142,0
Train_1143,0
Train_1144,0
Train_1145,0
Train_1146,1
Train_1147,0
Train_1148,0
Train_1149,0
Train_1150,0
Train_1151,1
Train_1152,0
Train_1153,1
Train_1154,0
Train_1155,0
Train_1156,0
Train_1157,0
Train_1158,0
Train_1159,1
Train_1160,1
Train_1161,0
Train_1162,0
Train_1163,0
Train_1164,1
Train_1165,0
Train_1166,0
Train_1167,0
Train_1168,0
Train_1169,0
Train_1170,0
Train_1171,1
Train_1172,0
Train_1173,0
Train_1174,0
Train_1175,0
Train_1176,1
Train_1177,0
Train_1178,0
Train_1179,0
Train_1180,1
Train_1181,0
Train_1182,0
Train_1183,0
Train_1184,0
Train_1185,0
Train_1186,1
Train_1187,0
Train_1188,0
Train_1189,0
Train_1190,0
Train_1191,0
Train_1192,0
Train_1193,1
Train_1194,0
Train_1195,1
Train_1196,0
Train_1197,0
Train_1198,1
Train_1199,1
Train_1200,0
Train_1201,0
Train_1202,0
Train_1203,0
Train_1204,0
Train_1205,0
Train_1206,0
Train_1207,0
Train_1208,0
Train_1209,0
Train_1210,1
Train_1211,0
Train_1212,0
Train_1213,0
Train_1214,1
Train_1215,0
Train_1216,0
Train_1217,0
Train_1218,0
Train_1219,0
Train_1220,0
Train_1221,0
Train_1222,0
Train_1223,1
Train_1224,1
Train_1225,0
Train_1226,0
Train_1227,1
Train_1228,0
Train_1229,0
Train_1230,1
Train_1231,0
Train_1232,0
Train_1233,0
Train_1234,0
Train_1235,0
Train_1236,0
Train_1237,1
Train_1238,0
Train_1239,1
Train_1240,1
Train_1241,0
Train_1242,0
Train_1243,0
Train_1244,0
Train_1245,1
Train_1246,0
Train_1247,1
Train_1248,1
Train_1249,0
Train_1250,0
Train_1251,1
Train_1252,0
Train_1253,0
Train_1254,1
Train_1255,0
Train_1256,0
Train_1257,1
Train_1258,0
Train_1259,0
Train_1260,0
Train_1261,1
Train_1262,0
Train_1263,0
Train_1264,0
Train_1265,1
Train_1266,0
Train_1267,0
Train_1268,0
Train_1269,0
Train_1270,0
Train_1271,1
Train_1272,0
Train_1273,0
Train_1274,0
Train_1275,0
Train_1276,0
Train_1277,1
Train_1278,0
Train_1279,0
Train_1280,0
Train_1281,0
Train_1282,1
Train_1283,0
Train_1284,0
Train_1285,1
Train_1286,1
Train_1287,1
Train_1288,0
Train_1289,1
Train_1290,0
Train_1291,0
Train_1292,0
Train_1293,0
Train_1294,0
Train_1295,0
Train_1296,0
Train_1297,1
Train_1298,0
Train_1299,0
Train_1300,0
Train_1301,0
Train_1302,0
Train_1303,0
Train_1304,1
Train_1305,0
Train_1306,1
Train_1307,0
Train_1308,0
Train_1309,1
Train_1310,0
Train_1311,0
Train_1312,0
Train_1313,1
Train_1314,0
Train_1315,0
Train_1316,0
Train_1317,0
Train_1318,0
Train_1319,0
Train_1320,0
Train_1321,0
Train_1322,0
Train_1323,0
Train_1324,0
Train_1325,1
Train_1326,0
Train_1327,0
Train_1328,1
Train_1329,0
Train_1330,0
Train_1331,0
Train_1332,0
Train_1333,0
Train_1334,0
Train_1335,1
Train_1336,0
Train_1337,0
Train_1338,0
Train_1339,0
Train_1340,0
Train_1341,1
Train_1342,0
Train_1343,0
Train_1344,0
Train_1345,0
Train_1346,0
Train_1347,1
Train_1348,1
Train_1349,1
Train_1350,0
Train_1351,0
Train_1352,0
Train_1353,0
Train_1354,1
Train_1355,1
Train_1356,1
Train_1357,1
Train_1358,0
Train_1359,0
Train_1360,0
Train_1361,0
Train_1362,0
Train_1363,0
Train_1364,0
Train_1365,0
Train_1366,1
Train_1367,0
Train_1368,1
Train_1369,0
Train_1370,0
Train_1371,1
Train_1372,1
Train_1373,0
Train_1374,0
Train_1375,0
Train_1376,0
Train_1377,1
Train_1378,0
Train_1379,0
Train_1380,1
Train_1381,1
Train_1382,0
Train_1383,0
Train_1384,0
Train_1385,0
Train_1386,1
Train_1387,0
Train_1388,1
Train_1389,1
Train_1390,0
Train_1391,1
Train_1392,1
Train_1393,0
Train_1394,0
Train_1395,0
Train_1396,1
Train_1397,1
Train_1398,0
Train_1399,0
Train_1400,0
Train_1401,0
Train_1402,0
Train_1403,0
Train_1404,0
Train_1405,0
Train_1406,0
Train_1407,0
Train_1408,1
Train_1409,0
Train_1410,0
Train_1411,0
Train_1412,0
Train_1413,0
Train_1414,1
Train_1415,1
Train_1416,0
Train_1417,1
Train_1418,0
Train_1419,0
Train_1420,1
Train_1421,0
Train_1422,0
Train_1423,0
Train_1424,1
Train_1425,0
Train_1426,1
Train_1427,0
Train_1428,0
Train_1429,0
Train_1430,0
Train_1431,0
Train_1432,1
Train_1433,0
Train_1434,0
Train_1435,0
Train_1436,0
Train_1437,0
Train_1438,1
Train_1439,0
Train_1440,1
Train_1441,0
Train_1442,1
Train_1443,0
Train_1444,0
Train_1445,0
Train_1446,0
Train_1447,1
Train_1448,0
Train_1449,1
Train_1450,0
Train_1451,0
Train_1452,0
Train_1453,0
Train_1454,0
Train_1455,0
Train_1456,0
Train_1457,1
Train_1458,0
Train_1459,1
Train_1460,0
Train_1461,0
Train_1462,0
Train_1463,1
Train_1464,0
Train_1465,0
Train_1466,1
Train_1467,0
Train_1468,0
Train_1469,0
Train_1470,0
Train_1471,0
Train_1472,0
Train_1473,0
Train_1474,1
Train_1475,0
Train_1476,1
Train_1477,1
Train_1478,1
Train_1479,1
Train_1480,0
Train_1481,0
Train_1482,1
Train_1483,0
Train_1484,0
Train_1485,0
Train_1486,0
Train_1487,0
Train_1488,0
Train_1489,1
Train_1490,0
Train_1491,0
Train_1492,0
Train_1493,0
Train_1494,0
Train_1495,0
Train_1496,1
Train_1497,1
Train_1498,0
Train_1499,0
Train_1500,0
Train_1501,0
Train_1502,0
Train_1503,0
Train_1504,1
Train_1505,0
Train_1506,0
Train_1507,0
Train_1508,1
Train_1509,0
Train_1510,0
Train_1511,0
Train_1512,0
Train_1513,1
Train_1514,0
Train_1515,0
Train_1516,0
Train_1517,1
Train_1518,0
Train_1519,0
Train_1520,0
Train_1521,0
Train_1522,0
Train_1523,0
Train_1524,0
Train_1525,0
Train_1526,0
Train_1527,0
Train_1528,1
Train_1529,0
Train_1530,1
Train_1531,0
Train_1532,0
Train_1533,1
Train_1534,0
Train_1535,0
Train_1536,0
Train_1537,0
Train_1538,1
Train_1539,1
Train_1540,0
Train_1541,1
Train_1542,0
Train_1543,0
Train_1544,0
Train_1545,0
Train_1546,1
Train_1547,0
Train_1548,1
Train_1549,1
Train_1550,0
Train_1551,0
Train_1552,1
Train_1553,0
Train_1554,0
Train_1555,1
Train_1556,1
Train_1557,1
Train_1558,0
Train_1559,1
Train_1560,0
Train_1561,0
Train_1562,1
Train_1563,1
Train_1564,1
Train_1565,0
Train_1566,0
Train_1567,0
Train_1568,0
Train_1569,0
Train_1570,0
Train_1571,0
Train_1572,0
Train_1573,0
Train_1574,0
Train_1575,1
Train_1576,0
Train_1577,0
Train_1578,0
Train_1579,0
Train_1580,0
Train_1581,0
Train_1582,0
Train_1583,1
Train_1584,0
Train_1585,1
Train_1586,0
Train_1587,1
Train_1588,0
Train_1589,0
Train_1590,1
Train_1591,0
Train_1592,0
Train_1593,1
Train_1594,0
Train_1595,0
Train_1596,0
Train_1597,1
Train_1598,1
Train_1599,0
Train_1600,1
Train_1601,1
Train_1602,0
Train_1603,0
Train_1604,1
Train_1605,1
Train_1606,0
Train_1607,0
Train_1608,1
Train_1609,0
Train_1610,1
Train_1611,1
Train_1612,1
Train_1613,0
Train_1614,1
Train_1615,1
Train_1616,1
Train_1617,1
Train_1618,0
Train_1619,0
Train_1620,0
Train_1621,1
Train_1622,0
Train_1623,0
Train_1624,0
Train_1625,0
Train_1626,0
Train_1627,0
Train_1628,0
Train_1629,0
Train_1630,0
Train_1631,1
Train_1632,0
Train_1633,1
Train_1634,1
Train_1635,1
Train_1636,0
Train_1637,0
Train_1638,0
Train_1639,0
Train_1640,0
Train_1641,0
Train_1642,0
Train_1643,0
Train_1644,0
Train_1645,0
Train_1646,1
Train_1647,0
Train_1648,0
Train_1649,0
Train_1650,0
Train_1651,0
Train_1652,0
Train_1653,1
Train_1654,1
Train_1655,0
Train_1656,1
Train_1657,0
Train_1658,0
Train_1659,0
Train_1660,0
Train_1661,1
Train_1662,0
Train_1663,1
Train_1664,0
Train_1665,0
Train_1666,1
Train_1667,1
Train_1668,0
Train_1669,1
Train_1670,1
Train_1671,0
Train_1672,1
Train_1673,0
Train_1674,0
Train_1675,1
Train_1676,1
Train_1677,0
Train_1678,0
Train_1679,0
Train_1680,0
Train_1681,1
Train_1682,1
Train_1683,1
Train_1684,0
Train_1685,0
Train_1686,0
Train_1687,1
Train_1688,0
Train_1689,0
Train_1690,0
Train_1691,1
Train_1692,0
Train_1693,1
Train_1694,1
Train_1695,0
Train_1696,0
Train_1697,1
Train_1698,1
Train_1699,0
Train_1700,0
Train_1701,0
Train_1702,0
Train_1703,0
Train_1704,0
Train_1705,0
Train_1706,1
Train_1707,0
Train_1708,0
Train_1709,0
Train_1710,0
Train_1711,0
Train_1712,0
Train_1713,0
Train_1714,0
Train_1715,0
Train_1716,0
Train_1717,0
Train_1718,0
Train_1719,0
Train_1720,0
Train_1721,0
Train_1722,0
Train_1723,1
Train_1724,1
Train_1725,0
Train_1726,0
Train_1727,0
Train_1728,0
Train_1729,0
Train_1730,0
Train_1731,1
Train_1732,0
Train_1733,1
Train_1734,1
Train_1735,1
Train_1736,0
Train_1737,0
Train_1738,0
Train_1739,0
Train_1740,0
Train_1741,1
Train_1742,0
Train_1743,0
Train_1744,0
Train_1745,0
Train_1746,0
Train_1747,0
Train_1748,1
Train_1749,0
Train_1750,1
Train_1751,0
Train_1752,0
Train_1753,0
Train_1754,0
Train_1755,0
Train_1756,0
Train_1757,0
Train_1758,0
Train_1759,0
Train_1760,1
Train_1761,0
Train_1762,0
Train_1763,0
Train_1764,0
Train_1765,0
Train_1766,0
Train_1767,0
Train_1768,0
Train_1769,0
Train_1770,1
Train_1771,0
Train_1772,0
Train_1773,0
Train_1774,1
Train_1775,0
Train_1776,1
Train_1777,1
Train_1778,1
Train_1779,0
Train_1780,0
Train_1781,1
Train_1782,1
Train_1783,0
Train_1784,0
Train_1785,0
Train_1786,0
Train_1787,0
Train_1788,0
Train_1789,1
Train_1790,0
Train_1791,0
Train_1792,0
Train_1793,0
Train_1794,1
Train_1795,0
Train_1796,0
Train_1797,0
Train_1798,0
Train_1799,1
Train_1800,0
Train_1801,0
Train_1802,0
Train_1803,1
Train_1804,0
Train_1805,0
Train_1806,0
Train_1807,1
Train_1808,1
Train_1809,0
Train_1810,1
Train_1811,0
Train_1812,0
Train_1813,0
Train_1814,1
Train_1815,0
Train_1816,0
Train_1817,1
Train_1818,1
Train_1819,0
Train_1820,0
